GeneGTF2I
CARHSP1
MDH2
HSPB1
YWHAG
RNF181
LOXL2
UBE2J2
MXRA8
LITAF
MRPL20
HGF
RSL1D1
GSPT1
TP53TG1
SRI
RER1
NTAN1
AKAP9
FAM133B
TFPI2
GNG11
RPS15A
COL1A2
PON2
BRI3
CAMTA1
PARK7
ARPC1A
ISG15
PDAP1
ENO1
ATP5J2
UQCRC2
SLFN5
ZKSCAN1
COPS6
PGD
NDUFAB1
SRM
TSC22D4
PCOLCE
GNB2
NSMCE1
TRIP6
DHRS3
PDPN
TRIM56
AP1S1
NUPR1
TUFM
FBLIM1
POLR2J3
SPNS1
PMPCB
PSMC2
QPRT
KMT2E
MVP
SDHB
NAMPT
CCDC71L
PRKAR2B
UBR4
ALDOA
PPP4C
CAPZB
MINOS1
NBL1
LAMB1
CAMK2N1
CD2BP2
DDOST
HP1BP3
MRPL54
GGNBP2
TES
CAV2
CAV1
CDC42
CAPZA2
LUZP1
BCL7C
HNRNPR
CPED1
FAM3C
ID3
RPL11
NDUFA5
FUS
SRSF10
PYCARD
TGFB1I1
CLIC4
SYF2
RALY
TMEM50A
VPS35
STMN1
ZNF593
SH3BGRL3
UBE2H
HMGN2
NUDC
CHD9
CHCHD3
AKR1B1
CALD1
MMP2
DNAJC8
ATPIF1
FOXP1
MT2A
MT1E
CHRM2
PTN
YTHDF2
MT1X
SRSF4
HERPUD1
HIPK2
SERINC2
NDUFB2
KHDRBS1
SSBP1
EIF3I
MARCKSL1
CDH11
GSTK1
ZYX
DYNC1LI2
PDIA4
FAM96B
LASP1
SFPQ
RARRES2
PSMB2
ATP6V0D1
PALLD
TMEM176B
TMEM176A
THRAP3
EVA1B
LSM10
NUTF2
RHEB
C1orf122
RRAGC
INSIG1
MACF1
PABPC4
SNTB2
CAP1
PPT1
CYB5B
NFAT5
NQO1
SLC25A6
YBX1
SVBP
EBNA1BP2
TMSB4X
ATP6V0B
GLG1
RPS8
SYAP1
RBBP7
UROD
GABARAPL2
KARS
TERF2IP
PRDX1
AKR1A1
EIF1AX
SMS
PRDX4
SAT1
EIF2S3
GCSH
TMEM47
CMPK1
HSBP1
ATP6AP2
NRDC
DDX3X
COTL1
BTF3L4
FILIP1L
SCP2
IER3
LINC01082
TIMP1
FENDRR
FOXF1
UXT
HSPB11
TMEM59
MRPL37
MAP1LC3B
RAB18
DHCR24
JUN
ARPC1B
CYBA
MVD
TM2D1
TRAPPC2L
PAIP2
MAGED1
ANKRD11
JAK1
HSD17B10
LEPROT
SGIP1
MAGED2
TCF25
SERBP1
GADD45A
GNG12
WLS
LINC01420
SRSF11
ZRANB2
NXN
YWHAE
MYO1C
IGBP1
NEXN
PIN4
RPS4X
ATRX
CYR61
TAX1BP3
PGK1
EMC6
ITGAE
SH3BGRL
LMO4
GBP1
GBP2
ITGB1
PSMB6
LINC00116
PFN1
ARMCX3
KIF1C
GCLM
ARHGAP29
RPAIN
F3
WBP5
CNN3
TCEAL4
TCEAL3
MORF4L2
TXNDC17
CTDNEP1
VCAM1
EIF5A
TMEM256
DNAJC7
DPYSL2
EIF4A1
PGRMC1
SLC25A5
UBE2A
SAT2
SARS
PSMA5
CHD3
LAMP2
GNAI3
MCTS1
VAMP2
GSTM3
AHCYL1
RPS20
RPL26
LAMTOR5
ATP5F1
MOSPD1
FAM127B
CAPZA1
RHOC
PMP22
RBMX
OLFML3
NCOR1
UBB
ATP1A1
CETN2
BCAP31
PHLDA1
PHGDH
IDH3G
FLNA
RP11-14N7.2
RPL10
PNISR
FAM50A
LAGE3
RNF115
G6PD
MFAP4
RBM8A
FUNDC2
TXNIP
PBX1
WSB1
IFT20
SDF2
PLEKHO1
RAB34
RPL23A
DBI
ECM1
CTSB
MCL1
ENSA
CTSK
TUSC3
PCM1
ASAH1
PSMD4
PSMB4
COPRS
S100A10
S100A11
ZNF207
CTSD
S100A6
S100A4
S100A16
S100A13
CCL2
ILF2
GYPC
SLC39A1
BNIP3L
RAB13
RPS27
TPM3
CLU
CCDC25
AP2B1
ADAR
SHC1
SARAF
LEPROTL1
RBPMS
DPM3
KRTCAP2
DUSP14
FDPS
CISD3
PSMB3
EIF4EBP1
LAMTOR2
RPL19
PHLDA2
FGFR1
GLMP
CCT3
TACC1
ADAM9
SFRP1
HDGF
IGFBP4
PLAT
KRT10
IFI16
TAGLN2
CEBPD
PRKDC
UBE2V2
PEA15
COPA
EIF1
FKBP10
RB1CC1
ACLY
PFDN2
TCEA1
DCN
SYPL1
RAB5C
NDUFS2
STAT3
SDHC
SDCBP
DDR2
RAB2A
VPS25
ASPH
MGST3
ALDH9A1
TMCO1
VAT1
MPZL1
MPC2
SULF1
TRAM1
GRN
TRPA1
PRRC2C
SBSPON
RPL7
RDH10
PRDX6
TCEB1
LY96
CACYBP
RALGPS2
TOR1AIP2
SMPD1
QSOX1
ACBD6
TARS
PPP2R1A
DECR1
ARPC5
C1orf21
SNF8
MSN
TPR
PHB
SNRPF
COL1A1
UQCRB
PTDSS1
LRRC59
LUC7L3
OSR2
NME1
PHLDA3
CSRP1
LMOD1
TIMM17A
HERC4
SCPEP1
AZIN1
CHPT1
CTHRC1
SUPT4H1
ATP2B4
SKA2
CLTC
VMP1
ENY2
NFASC
EXT1
TNFRSF11B
COLEC10
NUCKS1
COL14A1
MRPL13
MRC2
DCAF7
CD46
RPL27A
DDX5
SMURF2
SQLE
NPEPPS
BPTF
ASAP1
KPNB1
WIPI1
PRKAR1A
EPRS
LY6E
ATP5H
NT5C
HN1
CNIH4
MRPS7
VKORC1
ENAH
SRP9
EPHX1
H3F3A
WBP2
PARP1
GPAA1
CYC1
CDC42BPA
SLC52A2
ARF1
MRPL55
GUK1
VPS28
CYGB
MXRA7
LAMC1
SRSF2
RAB4A
C10orf54
MRPS10
C1orf198
CAPN2
FAM89A
TIMP2
LGALS3BP
SRRM1
AK3
COA6
RNF213
TMEM261
NID1
GPR137B
C17orf89
ACTG1
