GeneFO538757.2
AP006222.2
SAMD11
NOC2L
HES4
ISG15
AGRN
SDF4
B3GALT6
UBE2J2
ACAP3
PUSL1
CPSF3L
CPTP
MXRA8
AURKAIP1
CCNL2
MRPL20
ATAD3A
SSU72
MIB2
MMP23B
CDK11B
SLC35E2B
CDK11A
NADK
GNB1
FAAP20
SKI
RER1
PEX10
TNFRSF14
TPRG1L
SMIM1
LRRC47
CEP104
C1orf174
RPL22
RNF207
ICMT
ACOT7
NOL9
KLHL21
THAP3
CAMTA1
VAMP3
PARK7
ERRFI1
RERE
ENO1
H6PD
SPSB1
SLC25A33
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
UBE4B
KIF1B
PGD
DFFA
TARDBP
SRM
EXOSC10
MTOR
MAD2L2
AGTRAP
MTHFR
KIAA2013
PLOD1
MFN2
MIIP
VPS13D
DHRS3
PDPN
PRDM2
TMEM51
EFHD2
DNAJC16
PLEKHM2
FBLIM1
SPEN
SZRD1
NECAP2
SDHB
UBR4
EMC1
MRTO4
AKR7A2
PQLC2
CAPZB
MINOS1
NBL1
CAMK2N1
MUL1
PINK1
DDOST
HP1BP3
EIF4G3
ECE1
NBPF3
USP48
HSPG2
CDC42
KDM1A
LUZP1
HNRNPR
ID3
RPL11
TCEB3
PITHD1
LYPLA2
HMGCL
PNRC2
SRSF10
NIPAL3
SRRM1
CLIC4
SYF2
RSRP1
TMEM50A
TMEM57
LDLRAP1
MAN1C1
SEPN1
MTFR1L
STMN1
ZNF593
SH3BGRL3
DHDDS
HMGN2
ARID1A
GPN2
NUDC
SLC9A1
WDTC1
TMEM222
WASF2
IFI6
FAM76A
STX12
PPP1R8
RPA2
EYA3
DNAJC8
ATPIF1
SESN2
PHACTR4
RCC1
TRNAU1AP
TAF12
YTHDF2
EPB41
TMEM200B
SRSF4
MECR
SDC3
PUM1
SNRNP40
ZCCHC17
FABP3
SERINC2
PEF1
COL16A1
SPOCD1
PTP4A2
KHDRBS1
KPNA6
TXLNA
CCDC28B
TMEM234
EIF3I
HDAC1
MARCKSL1
BSDC1
ZBTB8OS
RBBP4
SYNC
YARS
S100PBP
TMEM54
AK2
PHC2
SMIM12
SFPQ
ZMYM4
KIAA0319L
PSMB2
C1orf216
AGO1
AGO3
ADPRHL2
TRAPPC3
MAP7D1
THRAP3
EVA1B
STK40
LSM10
MRPS15
MEAF6
GNL2
RSPO1
C1orf109
C1orf122
MTF1
SF3A3
FHL3
UTP11L
RRAGC
RP5-864K19.4
AKIRIN1
NDUFS5
MACF1
PABPC4
PPIE
CAP1
PPT1
ZMPSTE24
SMAP2
NFYC
CTPS1
SCMH1
PPCS
PPIH
YBX1
P3H1
C1orf50
SVBP
SLC2A1
EBNA1BP2
ELOVL1
MED8
HYI
PTPRF
ATP6V0B
B4GALT2
DMAP1
ERI3
RNF220
TMEM53
RPS8
EIF2B3
UROD
PRDX1
AKR1A1
NASP
GPBP1L1
TMEM69
POMGNT1
LRRC41
UQCRH
MKNK1
ATPAF1
EFCAB14
CMPK1
FAF1
RNF11
EPS15
OSBPL9
NRDC
RAB3B
TXNDC12
BTF3L4
PRPF38A
ZCCHC11
COA7
ZYG11B
ECHDC2
SCP2
PODN
C1orf123
MAGOH
YIPF1
HSPB11
LRRC42
TMEM59
MRPL37
SSBP3
DHCR24
PLPP3
PRKAA2
JUN
NFIA
TM2D1
USP1
DOCK7
ITGB3BP
PGM1
ROR1
JAK1
LEPROT
SGIP1
MIER1
SERBP1
GADD45A
GNG12
WLS
SRSF11
ANKRD13C
ZRANB2
NEGR1
CRYZ
TYW3
ACADM
RABGGTB
PIGK
AK5
ZZZ3
USP33
FAM73A
NEXN
FUBP1
DNAJB4
ADGRL2
TTLL7
PRKACB
RPF1
GNG5
CTBS
SSX2IP
SYDE2
C1orf52
BCL10
DDAH1
RP4-621F18.2
CYR61
ZNHIT6
ODF2L
SH3GLB1
SEP15
HS2ST1
LMO4
PKN2
GTF2B
CCBL2
GBP3
GBP1
GBP2
LRRC8D
ZNF326
ZNF644
TGFBR3
RPAP2
EVI5
RPL5
FAM69A
MTF2
TMED5
DR1
DNTTIP2
GCLM
ARHGAP29
ABCD3
F3
CNN3
ALG14
TMEM56
SNX7
AGL
SLC35A3
MFSD14A
TRMT13
RTCA
VCAM1
EXTL2
SLC30A7
DPH5
SLC25A24
PRPF38B
STXBP3
