GeneATG12
CRYBA4
PLAUR
BDP1
GALNT2
TK1
BIRC5
RP4-777O23.3
RHBDD2
NOC2L
HES4
VEGFB
ZNF503
UPK3B
SNX2
MTIF3
NTPCR
DEXI
C3orf14
TMEM60
SYNGR2
EIF4A3
IRF2BP2
TOMM40
AURKAIP1
CCNL2
APPL1
CLPTM1
ARID4B
SEMA3A
CALCOCO2
HIBADH
LYST
WBP11
SUCLG2
BAD
EIF4EBP2
LGALS8
RP11-141M1.1
TMF1
GNB1
MAN1A1
PSIP1
BFAR
RP5-892K4.1
BNC2
NMT2
IRF1
ITGA8
RP11-356J5.12
FH
OPN3
PAIP1
TNFRSF14
NHLRC3
MYH11
HSPA4
CDK6
LSM6
WBP4
PCYT2
CGGBP1
PPP2CA
BET1
ARL6IP1
EIF3G
SAR1B
MSRB2
ACOT7
AMOTL2
SAE1
ITPRIPL2
FASN
INAFM1
DCBLD2
DHCR7
GDE1
ASNS
COL8A1
RP11-383I23.2
B4GALT1
SECTM1
NLRP3
YME1L1
VTI1B
MRPS16
RERE
WDR45B
BAMBI
TMEM159
ANKS4B
NPIPB3
METTL9
ESD
USP14
BNIP2
RNASEH1
CLSTN1
RP11-806L2.2
MED4
SMARCA4
RP11-769O8.2
SMCHD1
PHLDB2
IAH1
HSD17B14
PURA
DCTN5
ATP6V1D
PFDN1
TGIF1
ITGA2
TNRC6A
FAM96A
ITIH5
RRM2
LCMT1
AGTRAP
HRC
EPN1
POP7
FAM204A
PIH1D1
NDUFV2
ZNF32
CNOT7
RCN3
GRHPR
SERPINE1
RAB31
PLOD3
FNIP1
UCHL3
LMO7-AS1
IFT22
AP2A1
CUX1
NCOA4
MAPK1IP1L
TIMMDC1
AKT1S1
EDNRB
RHOB
NDFIP2
PRPF6
LRRC17
NR1H2
SIPA1L1
SZRD1
NCBP2
APOE
RNMT
SRPK2
MAZ
CCND3
SEMA3C
PTRHD1
CDIPT
PARP14
GNPDA1
MPG
KLF9
BICC1
RAB10
NR3C1
BCAP29
CCDC6
NUDCD2
TTC39C
DLGAP5
SGK1
PINK1
PRUNE2
IFRD1
NRBF2
SCFD1
GNAQ
EIF4G3
ECE1
LINC00998
TLE4
CARMN
PRC1
OXLD1
RAB7A
CCAR1
VPS26A
LSM8
TMX4
COPG1
ORAI3
H1FX
ISCA1
F10
AIFM2
FRY
CUL4A
PPA1
SLC39A6
ELP2
BCKDK
YAP1
TPGS2
PNRC2
TXN2
NIPAL3
SMARCA1
ARF5
SND1
RSRP1
MICU1
IMPDH1
YIPF4
P4HA1
BIRC6
LTBP1
SMAD2
FLNC
ACIN1
DNAJA2
ARHGEF15
RP11-185E12.2
ITFG1
TMEM205
EIF2AK2
CEBPZOS
YTHDC1
CHCHD1
GPBP1
MRAS
CYP1B1
BRD7
HMMR
ZNF581
VDAC2
AKIP1
NIT2
PSMB5
AC007246.3
OAZ2
WASF2
PLXNA4
HMGCS1
STX12
DUSP1
IRF2BPL
ERGIC1
U2SURP
ZCCHC24
ACAA1
PHKG1
CES1
C9orf92
NUDT21
BOD1
HSPA2
TAF12
MTPN
COL15A1
ANXA11
TNFRSF11A
YKT6
TM4SF1
WWTR1
CCSER2
FAM192A
ARL2BP
CRIPT
ZCCHC17
FABP3
MRPS18A
STK17A
PEF1
KIFC3
COL16A1
C1orf123
SPOCD1
SPG21
RAD50
MME
ACAP2
CREBRF
KPNA6
TXLNA
RP11-94B19.3
BUB3
ERLEC1
HDAC1
PLEKHH2
ARL16
PTX3
CTBP2
UPF3A
ZBTB8OS
RBBP4
SYNC
CKLF
PLOD2
YARS
EAPP
TCAF1
CMTM3
TMEM54
EFEMP1
AK2
UBE2M
C16orf45
LLPH
PDCD7
AC139100.3
KPNA4
USP34
XPO1
SLC31A1
CDC26
PDCD10
GOLIM4
CEBPG
TMEM208
RAD21L1
PNN
EXOSC1
CUL5
NSFL1C
RIOK3
TMEM259
CTD-3028N15.3
BID
NOP56
TRAPPC3
MAP7D1
MGAT2
PTPRA
CHURC1
FASTK
KLHDC2
NEMF
RPL6
CHPF2
SMARCD3
FBXW2
SLC25A1
TUBB2A
NPY
C22orf39
RAB14
MAP4K5
C20orf27
SAV1
PRPF4B
FHL3
UTP11L
PHF20
TMX1
RNF24
FRMD6-AS2
GFPT1
NFU1
EZR
SSR1
C14orf166
DGCR6L
PTGER2
TTC14
DNAJB6
DNAJC19
FAM136A
PSMB7
SNAP29
MRPL43
RPL35
NOB1
NAGK
SERPINB2
GMFB
PARL
ZNF638
AARS
DHRSX
MGEA5
RP11-490M8.1
MSANTD3
RGCC
TMEM14A
SRSF1
JAG1
PPCS
CUEDC2
INHBA
P3H1
ACTR1A
PSMA3-AS1
ESF1
DIO3OS
SLC2A1
COMMD3
DCTN1
DPM2
MARS
CDC20
ELOVL1
MED8
TCF12
PCNXL4
DNAJB11
SMARCB1
GOLGA2
RAB9A
AUP1
LINC00493
URM1
YBEY
SLC26A7
RBM42
PIR
BRMS1
ERI3
ZDHHC12
ADD3
TDP2
SCO2
HDDC2
CFDP1
APOL2
LYRM2
CCDC50
KCMF1
MKRN1
CAPG
APMAP
DHPS
NASP
FAM32A
ALG5
FAM43A
ABHD12
PTGES
PPP1R2
ABCA1
C9orf78
ST3GAL6-AS1
LRRC41
MANBAL
DPP4
ASS1
CHMP3
EFCAB14
RP11-303E16.6
NF2
MRPS33
KRCC1
DYNLT3
HSD17B2
COMMD7
MRPS5
RNF11
TIAL1
MBTPS1
USP9X
RAB3B
FYTTD1
CHMP4B
SURF1
CRISPLD2
ZDHHC7
SMTN
NUTM2B-AS1
HTRA1
DYNLRB1
ATP5I
PODN
DCTD
EMC8
SMAP1
UBA1
CDK16
MAGOH
UQCRQ
VAMP3
PXK
MFSD1
ANKRD17
DNASE2
FBXO7
CTBP1
UROS
CPNE1
RAD1
TIMM9
HMGXB4
EBP
SCAND1
ISCA2
WDR13
MKI67
TXNDC9
DLGAP4
RBFOX2
CNN1
TIMM17B
PQBP1
PLPP3
GNL1
TMEM141
ADD1
MALSU1
UTRN
TMED10
WDR45
FOS
FBXW5
IL33
FUOM
C9orf142
IFT43
LRRC75A
TUBGCP2
ZNF511
CYTL1
WAC
PTBP1
TMEM18
GSTZ1
MICA
RPL13
HUWE1
KDM5A
SNW1
OSER1
WNK1
GDAP1L1
MIER1
PLAC9
DEF8
YWHAB
TMEM248
DEPDC1
NUDT2
PDLIM5
FAM101B
CHCHD5
RP11-338E21.3
RP3-333A15.1
TMEM158
UBE2C
AR
TYW3
FAM155B
LAP3
MED28
UBE2Q2
PDZD11
RANBP2
PRPF8
DDX18
LMF2
C11orf96
PNPLA2
NONO
TAP1
SMIM20
ZC3H7B
CFAP36
DNAJC10
PHF5A
ACO2
POLR3H
NIFK
PAFAH1B1
DESI1
PIN1
CDCA3
BAZ1A
ZEB2
TSSC4
DDAH1
LIMS2
RFC1
NAP1L4
ODF2L
UGDH
TYMS
SH3GLB1
EIF2S1
RHOG
PAPOLA
PKN2
SLBP
IMP4
GBP3
PHAX
IFT27
PLEKHB2
PRRX2
UBE3A
TSPO
AC015691.13
SLC39A3
GABRA2
COMMD8
NCKAP5
NFKBIA
PHIP
HNRNPH2
RNF167
ARMCX6
SPAG7
EVI5
RPL5
TCEAL6
HNMT
TMED5
DR1
SGCB
CTDSP2
RAP1B
BEX1
CINP
SEL1L
CCDC167
DERL2
DNAJC3
FAM64A
GTSE1
SMIM10L1
FAM150A
C5orf15
TMEM9B
COPS7A
KLC1
APOPT1
ARL5A
IPO7
ZFYVE21
SRP54
REST
ACADVL
POLR2B
RTCA
CEP55
HEBP1
EMP1
DPH5
ACSL4
CHMP2B
C11orf24
COL11A1
USP47
IL13RA2
GRSF1
KLHDC3
TANK
PLS3
FAM177A1
PRPF38B
RBM6
PTK7
CXCL8
SLC2A4RG
REEP3
TMED4
MTHFD1L
NIPA2
ACAA2
NDUFA1
NKAP
TCEA2
TRAPPC1
G3BP2
SAA1
GSTM4
THOC2
TSG101
LYRM5
KRAS
STAG2
CSF1
PTGES2
TFDP1
TMEM45B
TMEM106C
GORASP2
RALBP1
MYH10
SIGIRR
EIF2AK1
ANTXR2
DRAM2
TRAM2
CSNK1A1
CDS2
FBXO9
RAP1A
SMIM10
RP11-79N23.1
MYOCD
CISD2
GPX4
RP11-1084A12.2
MIDN
BST1
C19orf24
RAB23
DAZAP1
YWHAQ
STX8
QKI
IDS
C16orf72
PRKRA
JKAMP
OGFRL1
SHISA5
TRPV2
VMA21
MED10
PPHLN1
FAM195A
CRK
COPS3
MAN1A2
BGN
TWF1
IDH3B
ANO6
EIF4E
MPLKIP
SENP6
HMGB2
SREK1
NOTCH2
SIM2
ADH1B
ALDH3B1
L1CAM
ARPP19
FLII
LAMTOR3
DNAJB14
IBTK
EMD
ETS2
SLC40A1
PSMG1
TRIM28
