GeneTIMP2
LGALS3BP
IGFBP5
HMGB1
FBN2
N4BP2L2
ACTG1
VIM
P4HB
TFPI2
UBE2B
COL1A2
SLC1A5
LOX
PITX1
SLC16A3
DNAJA1
FILIP1L
TGFBI
ENO1
PXDN
EMP3
RAB13
KIF5B
CD47
ITM2B
COPS6
ITGB1
VCP
MYL12A
SRM
TPM2
CCDC80
PCOLCE
PDIA6
LMO7
TUFM
LAPTM4A
TUBB6
FSTL1
QPRT
MVP
DKK1
CCDC71L
MYLK
ZFAND5
ALDH1A1
ANXA1
CAMK2N1
DDOST
HSP90AB1
COL4A2
CAV1
CDC42
ID3
LAMP1
PPP1CB
ANXA6
FUS
GAS6
LBH
PSAP
CRIM1
SH3BGRL3
CDC42EP3
HMGN2
VCL
MMP14
ATP1B3
AKR1B1
CALD1
MMP2
ZFP36L2
STC2
MT2A
MT1E
PTN
PSME2
FAM213A
FDPS
ADIRF
CALM2
PAPSS2
ACTA2
LXN
PTGR1
CANX
RARRES2
SEC62
SNRPB
TMEM176B
TMEM176A
CLDN11
RPL22L1
GSN
ANTXR1
MACF1
PRNP
SCD
FERMT2
NQO1
BMP4
HSPA5
LGALS3
ACTG2
TMSB4X
RRBP1
SOX4
GSTO1
PRDX1
PRDX4
SAT1
TFRC
ZFP36L1
ACTN1
PLP2
EIF3A
ATP6AP2
JUNB
WFDC1
COTL1
TIMP1
SPON2
TMEM59
HLA-A
NPC2
ADH5
EIF5B
MYL9
SNHG7
MYH9
RPN2
CYBA
TUBB
LRPAP1
PTGDS
TGM2
MAGED1
HLA-C
HLA-B
TUBB4B
MAGED2
DDX17
IFITM2
SRSF11
RNH1
CTSA
CD9
TALDO1
ACTR3
FBLN5
NEXN
CD151
DDX24
CTSD
IGF2
XRCC6
TPI1
CD81
CYR61
PHLDA2
PGK1
C1S
C1R
HMGA1
UCHL1
LIMCH1
PSMB6
MEG3
UBXN4
SRSF3
CDKN1A
FBLN1
HSP90AA1
GCLM
TCEAL4
PSMA7
SBF2-AS1
GPRC5A
IGFBP7
ADM
TFPI
MGP
DKK3
EIF4A1
FLNA
LAMP2
LDHA
GSTM3
SSB
BSG
APP
CFD
DST
CD44
SON
UBB
THBS1
SNCA
COL12A1
SLC38A1
SLC38A2
PHGDH
ITGAV
H2AFZ
MDK
COL3A1
COL5A2
G6PD
MFAP4
ZNF106
STAT1
NABP1
PNRC1
TUBA1B
TUBA1A
TUBA1C
MAP1A
HSPD1
PDIA3
WSB1
TMBIM6
PNISR
B2M
COL6A1
PDE5A
COL6A2
ANXA5
CTSB
FADS2
CTSK
MT-ND1
MT-ND2
MT-CO1
FGF7
MT-ATP6
MT-CO3
MT-ND3
KRT18
MT-ND4
MT-ND5
MT-ND6
MT-CYB
IGFBP6
ASAH1
LAMA4
SLC3A2
RARRES3
HNRNPA1
S100A10
S100A11
FN1
XRCC5
CD63
S100A4
IGFBP2
PPP1R14B
CCL2
SMPDL3A
MYL6
ANXA2
CLU
TPM1
ATP5B
RANBP1
CTGF
NEAT1
MALAT1
LRP1
TCF21
PSMB3
SERPINE2
PALLD
LMNA
ADAM9
CITED2
NCL
PTMA
IGFBP4
PLAT
CALR
CEBPD
COL6A3
PKM
RAMP1
AKAP12
CCND1
BTG1
SDCBP
DDR2
CTTN
ASPH
SOD2
ATP2B1
GRN
LUM
DCN
PSMA4
THBS2
SBSPON
RDH10
SERPINH1
GDF15
CEMIP
FADS1
HEG1
MT-CO2
QSOX1
DAB2
HSP90B1
LAMC1
ACTB
CTSC
AHNAK
C12orf75
MFGE8
CKAP4
COL1A1
NME1
DYNC1H1
GPNMB
CYCS
HNRNPA2B1
CLTC
MAP1B
TNPO1
NNMT
TNFRSF11B
GARS
TAGLN
SEPT7
MAP4
DDX5
UQCRC1
SQLE
MLXIP
THY1
TRPA1
NR2F1
UBC
PLD3
RHOBTB3
GLRX
RAN
HN1
CTSL
AXL
TNFRSF12A
APLP2
REEP5
TKT
PSG4
IDI1
