GeneS100A11
LAPTM4A
TFPI2
ASPH
CAV1
ACTG1
MGP
ACTB
MYL6
NCL
TMBIM6
COL6A3
TPM2
PSG4
MYL9
SEPT7
ARHGEF15
TPM1
