GeneAKAP12
RARRES2
MT1E
CCND1
TMEM176B
TMEM176A
CLDN11
RPL22L1
HMGB1
LDHA
PRNP
SCD
CFD
NQO1
GRN
LUM
DCN
HSPA5
DST
SERPINH1
ACTG2
PITX1
MT-ND1
THBS1
ENO1
QSOX1
ITM2B
ITGB1
HSP90B1
H2AFZ
COL3A1
C12orf75
PCOLCE
NABP1
IGFBP6
TUBA1B
TUBA1A
FSTL1
TGFBI
TIMP1
ACTA2
COL6A1
COL6A2
HLA-A
ALDH1A1
ANXA1
MT-ND2
MT-CO1
MT-CO2
MT-ATP6
MT-CO3
MT-ND3
MT-ND4
MT-ND5
MT-CYB
CYBA
PTGDS
TGM2
HSP90AB1
MAP1B
HLA-C
HLA-B
CYR61
ID3
TAGLN
FN1
GAS6
PSAP
IGFBP2
IGFBP5
DDX5
CTSA
ANXA2
TALDO1
HMGN2
NEAT1
MALAT1
CALD1
FDPS
PHLDA2
C1S
C1R
HMGA1
UBC
MT2A
FLNA
PTN
RHOBTB3
GLRX
MMP2
MEG3
CDKN1A
FBLN1
HSP90AA1
PTGR1
IGFBP7
SPON2
