GeneRP11-34P13.3
RP11-34P13.7
FO538757.3
RP4-669L17.10
RP5-857K21.4
RP11-206L10.9
FAM87B
LINC00115
FAM41C
RP11-54O7.16
RP11-54O7.1
RP11-54O7.2
RP11-54O7.3
KLHL17
PLEKHN1
PERM1
RP11-54O7.17
C1orf159
TNFRSF18
TNFRSF4
FAM132A
RP5-902P8.12
RP5-902P8.10
SCNN1D
TAS1R3
DVL1
RP4-758J18.13
ANKRD65
VWA1
ATAD3C
ATAD3B
TMEM240
RP5-832C2.5
C1orf233
RP11-345P4.9
RP11-345P4.10
RP11-345P4.7
SLC35E2
RP1-140A9.1
CALML6
TMEM52
CFAP74
PRKCZ
RP5-892K4.1
RP11-181G12.2
RP11-181G12.4
MORN1
RP3-395M20.2
RP3-395M20.3
PANK4
RP3-395M20.12
RP3-395M20.8
RP3-395M20.9
FAM213B
MMEL1
TTC34
LINC00982
PRDM16
ARHGEF16
MEGF6
RP11-46F15.2
WRAP73
TP73-AS1
RP1-286D6.5
DFFB
LINC01134
NPHP4
KCNAB2
CHD5
RP1-120G22.11
LINC00337
GPR153
RP1-202O8.3
HES2
ESPN
TNFRSF25
PLEKHG5
ZBTB48
PHF13
DNAJC11
RP11-242F24.1
RP11-312B8.1
PER3
RP3-467L1.4
RP11-431K24.1
RP11-431K24.3
SLC45A1
RP5-1115A15.1
RP4-633I8.4
ENO1-AS1
SLC2A5
GPR157
MIR34AHG
RP3-510D11.2
RP3-510D11.4
TMEM201
PIK3CD
AL357140.1
RP11-84A14.5
NMNAT1
RBP7
RP4-736L20.3
APITD1-CORT
APITD1
CORT
RP5-1113E3.3
PEX14
CASZ1
C1orf127
RP4-635E18.9
MASP2
RP4-635E18.8
RP4-635E18.7
RP4-635E18.6
UBIAD1
PTCHD2
RP1-69M21.2
FBXO2
FBXO44
FBXO6
DRAXIN
C1orf167
CLCN6
NPPA-AS1
NPPA
NPPB
TNFRSF1B
RP11-474O21.5
AADACL4
HNRNPCL1
KAZN
TMEM51-AS1
C1orf195
FHAD1
RP3-467K16.4
CTRC
CASP9
AGMAT
RP4-680D5.2
DDI2
RP4-680D5.9
RP11-288I21.1
SLC25A34
RP11-169K16.4
UQCRHL
FLJ37453
ZBTB17
C1orf64
HSPB7
CLCNKA
CLCNKB
FAM131C
EPHA2
RP11-276H7.2
RP11-276H7.3
ARHGEF19-AS1
ARHGEF19
RSG1
FBXO42
SPATA21
RP4-798A10.2
RP4-798A10.7
RP4-798A10.4
RP5-875O13.1
NBPF1
RP5-1182A14.5
CROCC
