GeneEIF5A
GTF2I
CCT4
SFPQ
SDC4
CXCL1
PAPPA
SERPINB6
NUCB2
APOE
PPIC
ACAT2
ZMAT3
ARHGEF15
RPL26
FDFT1
DYNC1I2
PCYOX1
ADAMTS1
POSTN
GREM1
SEC31A
SPCS2
EEA1
HNRNPU
FHL1
DEK
EIF4A2
SST
XRN2
BCAP31
HIST1H4C
SMS
ID1
PSMC3
ITGA1
TXNIP
CORO1C
SELM
SOD3
CSRP1
YWHAH
USP53
RPL23A
ACTN4
FBN1
LAMB1
CTHRC1
MT-ND4L
EMILIN1
VMP1
COL4A1
SLC7A11
REXO2
RPS28
LDLR
COL14A1
SCARB2
S100A16
CBX6
RP3-333A15.1
SVEP1
SMURF2
INSIG1
SERPINF1
PLAU
MEST
RBP1
SLC25A36
KIAA0101
BDKRB2
IGFBP3
CFL1
LMAN1
ACSL3
LASP1
SF3B2
LTBP4
EIF1
ITM2C
HCFC1R1
GABARAPL1
TMED9
BEX1
F3
UACA
IER2
CYGB
HEXA
VCAM1
