GenePOLR2L
TSPAN4
TPT1
LOXL1
FKBP1A
MGST1
RPLP1
RPS8
ARID5B
C1QBP
RND3
EIF4EBP1
PMP22
ATP5G1
EXT1
RPL27A
PFDN4
RPL18A
PFN1
LINC00152
ILK
SPARC
RPL34
NUPR1
RGS10
TMEM14B
C6orf48
RTN4
MYDGF
TXN
RPL12
PRDX6
BAG2
RPL3
RPS27
PSMA3
MEIS2
SQSTM1
SNHG8
