GeneBUD31
TMEM219
TMEM167A
MYEOV2
RBM3
ST13
GNG5
MRPL23
RHOA
ARL6IP4
ATP6V1G1
GNAS
FTH1
COX7A2L
SDF4
COX7B
TPM4
SRP14
MRPS15
CLTA
C7orf73
GNAI2
AES
NACA
AC090498.1
RPL27
EIF3H
LAMTOR1
CDV3
MZT2A
RPL13A
NAA38
HEBP2
BTF3
KDELR2
RPL4
HAX1
RPL36A
NDUFB5
EEF2
PDLIM2
MAP2K2
TMEM230
ATP6V0E1
CIB1
BRK1
PGLS
ATP5D
RPS19
ZCRB1
TCEAL8
ANAPC16
ATP5J
ATP5A1
MTDH
ANAPC11
MYL6B
POLR2J
NOP10
EIF3M
RPS25
FIBP
BLOC1S1
ATP6V1F
RPS15
OSTC
OAZ1
COX4I1
RPS4Y1
C19orf53
UBA52
NENF
C7orf50
NDUFA11
ZNF706
