GeneENSG00000226950
ENSG00000119711
ENSG00000272631
ENSG00000119922
ENSG00000119938
ENSG00000158467
ENSG00000138078
ENSG00000171314
ENSG00000171316
ENSG00000171320
ENSG00000004799
ENSG00000120071
ENSG00000004866
ENSG00000138160
ENSG00000171453
ENSG00000005100
ENSG00000101452
ENSG00000101464
ENSG00000150687
ENSG00000159063
ENSG00000187325
ENSG00000171617
ENSG00000159131
ENSG00000138439
ENSG00000006042
ENSG00000138459
ENSG00000159200
ENSG00000159256
ENSG00000101974
ENSG00000187676
ENSG00000120833
ENSG00000138685
ENSG00000171877
ENSG00000138738
ENSG00000159596
ENSG00000250317
ENSG00000102316
ENSG00000172053
ENSG00000008294
ENSG00000172156
ENSG00000008513
ENSG00000172175
ENSG00000172270
ENSG00000102786
ENSG00000139197
ENSG00000121864
ENSG00000139269
ENSG00000188313
ENSG00000139323
ENSG00000160299
ENSG00000102974
ENSG00000172469
ENSG00000011295
ENSG00000169122
ENSG00000259826
ENSG00000122484
ENSG00000119950
ENSG00000172748
ENSG00000113391
ENSG00000172795
ENSG00000122641
ENSG00000139793
ENSG00000160818
ENSG00000188868
ENSG00000250988
ENSG00000122870
ENSG00000172986
ENSG00000122877
ENSG00000122882
ENSG00000016082
ENSG00000017260
ENSG00000189057
ENSG00000120053
ENSG00000173193
ENSG00000189114
ENSG00000213928
ENSG00000021776
ENSG00000140416
ENSG00000023041
ENSG00000173273
ENSG00000023228
ENSG00000187068
ENSG00000104154
ENSG00000236213
ENSG00000173391
ENSG00000236814
ENSG00000023909
ENSG00000104321
ENSG00000104331
ENSG00000173542
ENSG00000140941
ENSG00000214160
ENSG00000162402
ENSG00000162408
ENSG00000196290
ENSG00000104722
ENSG00000124212
ENSG00000099725
ENSG00000196323
ENSG00000275004
ENSG00000035862
ENSG00000124333
ENSG00000196387
ENSG00000257267
ENSG00000037749
ENSG00000261609
ENSG00000141469
ENSG00000162645
ENSG00000196458
ENSG00000039123
ENSG00000039319
ENSG00000141560
ENSG00000162734
ENSG00000141682
ENSG00000187240
ENSG00000174579
ENSG00000118260
ENSG00000107186
ENSG00000261801
ENSG00000162923
ENSG00000047315
ENSG00000047346
ENSG00000174738
ENSG00000174748
ENSG00000162981
ENSG00000261997
ENSG00000275764
ENSG00000174928
ENSG00000163104
ENSG00000196865
ENSG00000196867
ENSG00000049860
ENSG00000125637
ENSG00000050426
ENSG00000105677
ENSG00000197933
ENSG00000136235
ENSG00000075914
ENSG00000052795
ENSG00000105835
